Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),AC Voltage (Vrms),Re[Impedance] (Ohm),-Im[Impedance] (Ohm),Re[Cp] (F),Im[Cp] (F),Re[Modulus],Im[Modulus],Re[Permittivity],Im[Permittivity],Loss Factor,Re[Sp.Impedance] (Ohm-cm),-Im[Sp.Impedance] (Ohm-cm)
,580761.426,360.0038,-0.019,2.568774e+03,0.5,6565.677,153.2932,2.20200911281487E-10,-9.43139068516997E-09,3.97150813346591E-07,1.70103041799702E-05,1371.81207582704,58755.867804833,42.8308431163287,11902.9682167298,277.906465310554
,580762.238,360.0038,-0.019,1.946446e+03,0.5,6580.039,178.9392,3.37680386974758E-10,-1.24173468744076E-08,3.51278562661145E-07,1.29173855822216E-05,2103.68808160726,77357.8378623071,36.7724847322442,11929.0052011152,324.400303323945
,580763.033,360.0038,-0.019,1.474880e+03,0.5,6607.746,214.1758,5.28776852040221E-10,-1.63138091650007E-08,3.18588535193852E-07,9.82908488761586E-06,3294.18469172143,101632.097183638,30.8519730053535,11979.235442472,388.281016594735
,580763.829,360.0038,-0.019,1.117550e+03,0.5,6626.515,259.6494,8.40817670294949E-10,-2.14585163858439E-08,2.92658173856564E-07,7.46893225608504E-06,5238.14287128404,133682.697933085,25.5210102545972,12013.2619123181,470.720468840145
,580764.64,360.0038,-0.019,8.467957e+02,0.5,6668.078,309.5074,1.3054871203318E-09,-2.81256278407812E-08,2.64337002921573E-07,5.69491958436948E-06,8132.94997775239,175217.603268133,21.5441634028783,12088.6118066233,561.108434825939
,580765.436,360.0038,-0.019,6.416440e+02,0.5,6727.834,364.2051,1.98997960915595E-09,-3.67602004304336E-08,2.35692920162622E-07,4.35387324842341E-06,12397.2150823665,229009.437639556,18.4726518107517,12196.943935779,660.270331554673
,580766.231,360.0038,-0.019,4.861923e+02,0.5,6809.055,417.0073,2.93328656938381E-09,-4.78958271994176E-08,2.04483260569452E-07,3.33888104068377E-06,18273.8477980145,298382.389752672,16.3283832201499,12344.1901346906,755.995861210397
,580767.027,360.0038,-0.019,3.684033e+02,0.5,6911.777,457.9385,4.12308480995451E-09,-6.22307204100397E-08,1.70151135132263E-07,2.56813240714871E-06,25686.0768606191,387686.196433493,15.0932428699487,12530.4156680452,830.200360254838
,580767.838,360.0038,-0.019,2.791500e+02,0.5,7029.975,476.189,5.46848332501115E-09,-8.07311824984308E-08,1.3406661435676E-07,1.97922452484762E-06,34067.6676497469,502940.748076981,14.7629932652791,12744.6977652731,863.286837314162
,580768.634,360.0038,-0.019,2.115173e+02,0.5,7151.138,465.69,6.82304708279105E-09,-1.04774745580829E-07,9.93463200976523E-08,1.52556259488176E-06,42506.3562527415,652727.822028641,15.3560050677489,12964.3551346569,844.253116449208
,580769.445,360.0038,-0.019,1.602760e+02,0.5,7261.085,428.629,8.04495836382297E-09,-1.36283654398511E-07,6.92867217368901E-08,1.17373480539792E-06,50118.6437821338,849022.657325554,16.9402560256072,13163.6789281552,777.064933862672
,580770.24,360.0038,-0.019,1.214445e+02,0.5,7350.672,374.9449,9.07041802636512E-09,-1.7782257556963E-07,4.59250357168918E-08,9.00345288449467E-07,56507.073058662,1107802.66576305,19.6046725798911,13326.0919152138,679.740600660819
,580771.052,360.0038,-0.019,9.202165e+01,0.5,7417.45,315.0864,9.88703988423266E-09,-2.32750839100963E-07,2.92432272977626E-08,6.88414911972681E-07,61594.4803699559,1449995.86913345,23.5410033565397,13447.1542841937,571.22264843729
,580771.847,360.0038,-0.019,6.972812e+01,0.5,7464.305,257.2585,1.05266617692377E-08,-3.05429029856857E-07,1.80916827863561E-08,5.24926633252592E-07,65579.2096824135,1902767.92692365,29.0148041755666,13532.0980875205,466.385987154649
,580772.658,360.0038,-0.019,5.283509e+01,0.5,7495.842,206.1562,1.10440622489713E-08,-4.01562240943777E-07,1.09854846444105E-08,3.9943235851227E-07,68802.5216206183,2501660.5431694,36.3600124565742,13589.2717664345,373.742219771363
,580773.485,360.0038,-0.019,4.003407e+01,0.5,7516.645,162.9248,1.14583796384802E-08,-5.28640035265865E-07,6.57845043864859E-09,3.03501226316778E-07,71383.6444454321,3293332.34782265,46.1356711808147,13626.9856911086,295.367669795065
,580774.296,360.0038,-0.019,3.033521e+01,0.5,7530.412,127.6713,1.18087921638518E-08,-6.96515741722496E-07,3.90609931016246E-09,2.30392712523794E-07,73566.6514594734,4339167.80788036,58.9828097622567,13651.9439952469,231.456318379441
,580775.076,360.0038,-0.019,2.298591e+01,0.5,7539.376,99.63731,1.21349012146034E-08,-9.18226144199914E-07,2.30985960422932E-09,1.74782920810448E-07,75598.2521974271,5720383.74238756,75.6682009982004,13668.194902365,180.633274242771
,580775.888,360.0038,-0.019,1.741690e+01,0.5,7512.408,77.20148,1.24988121779932E-08,-1.21624840089146E-06,1.35613462812472E-09,1.31964265832743E-07,77865.352052731,7577008.80454304,97.3091189443518,13619.3044000042,139.959179034317
,580776.73,360.0038,-0.019,1.319742e+01,0.5,7482.392,59.81737,1.28840489604892E-08,-1.61163061615E-06,7.96192502249972E-10,9.95935529979866E-08,80265.3079257797,10040168.899124,125.087278160173,13564.8881541253,108.443387318378
,580777.526,360.0038,-0.019,1.000008e+01,0.5,7498.588,46.0988,1.30477117492902E-08,-2.12238528444746E-06,4.64936860953334E-10,7.56282151878647E-08,81284.8976665044,13222078.6272805,162.663409893533,13594.2500117431,83.5728823134891
,580904.089,360.0013,-0.019,5.000000e+05,0.5,5151.767,942.1586,1.09338775845452E-11,-5.97869506493916E-11,0.000475114603855377,0.00259794872897218,68.1160909771166,372.461950318032,5.46804646266563,9339.67949702632,1708.04684283412
,580904.885,360.0013,-0.019,3.788642e+05,0.5,5299.022,926.7727,1.34534331973658E-11,-7.6922894349792E-11,0.000354128748780878,0.00202480719449585,83.8124693221029,479.215797802577,5.71771481831521,9606.63926138185,1680.15362196965
,580905.681,360.0013,-0.019,2.870762e+05,0.5,5457.745,910.1281,1.64811213984016E-11,-9.88319753082223E-11,0.000263514225862196,0.00158020991619561,102.674422307895,615.705431992269,5.99667783029664,9894.38945443339,1649.9784938328
,580906.476,360.0013,-0.019,2.175258e+05,0.5,5634.833,883.2887,1.98658606748715E-11,-1.26731845776096E-10,0.000193783951047319,0.00123622118366489,123.760739280726,789.516607427932,6.37937856558111,10215.4337025078,1601.32113143802
,580907.287,360.0013,-0.019,1.648255e+05,0.5,5815.028,838.6626,2.34605726317227E-11,-1.62668380287259E-10,0.000139417084905417,0.000966675099620965,146.155148290344,1013.39475452047,6.93369180883945,10542.110655671,1520.41811870428
,580908.083,360.0013,-0.019,1.248930e+05,0.5,5986.857,771.9005,2.69951377419083E-11,-2.09374173687033E-10,9.72307494911398E-05,0.000754121280147217,168.174853262188,1304.36344771988,7.75599575333868,10853.6208206871,1399.38457496124
,580908.879,360.0013,-0.019,9.463495e+04,0.5,6136.971,685.4124,3.02293387856131E-11,-2.70664165802199E-10,6.54195960255628E-05,0.000585746863699277,188.323344118046,1686.18907605913,8.95369123756734,11125.7636889528,1242.5896084368
,580909.69,360.0013,-0.019,7.170755e+04,0.5,6258.635,588.4225,3.30493572148187E-11,-3.51522696348571E-10,4.25558002133483E-05,0.000452636023721509,205.891551773162,2189.9231795722,10.6362944992756,11346.3293252337,1066.75584490505
,580910.485,360.0013,-0.019,5.433485e+04,0.5,6350.496,489.7704,3.53625135162651E-11,-4.58519952685967E-10,2.6839573757758E-05,0.000348009201434687,220.302099527632,2856.49684391263,12.9662715427474,11512.8648650352,887.908665731657
,580911.281,360.0013,-0.019,4.117107e+04,0.5,6414.7,402.0045,3.76186937669587E-11,-6.0027346685649E-10,1.6692738281667E-05,0.000266362461752069,234.35769673262,3739.5957439052,15.9567865533844,11629.2608088787,728.797165392441
,580912.077,360.0013,-0.019,3.119651e+04,0.5,6458.952,323.2505,3.94314645971619E-11,-7.87890311454331E-10,1.01706676905107E-05,0.000203222746510707,245.65093299176,4908.41494428933,19.9812591163819,11709.4856127378,586.023410463537
,580912.888,360.0013,-0.019,2.363846e+04,0.5,6487.952,260.09,4.15347559207007E-11,-1.03608559631367E-09,6.20079685603058E-06,0.000154679043268397,258.754059676483,6454.62693293152,24.9450267215195,11762.0599441106,471.519236095416
,580913.683,360.0013,-0.019,1.791157e+04,0.5,6506.845,210.9622,4.42277149408283E-11,-1.3641443150676E-09,3.81102751624254E-06,0.000117546012218896,275.530710063711,8498.37375190677,30.8436535075952,11796.311214546,382.455055515431
,580914.479,360.0013,-0.019,1.357207e+04,0.5,6519.765,174.2872,4.80468402024528E-11,-1.79734430935E-09,2.38570379339272E-06,8.92448102472761E-05,299.323173603043,11197.1318085668,37.4081688156101,11819.7339856266,315.966655408547
,580915.29,360.0013,-0.019,1.028394e+04,0.5,6528.786,148.8499,5.40154336426535E-11,-2.36920016036346E-09,1.54387866300261E-06,6.77168973624446E-05,336.506437329426,14759.6909164617,43.8615410557884,11836.0882284996,269.851171290242
,580916.086,360.0013,-0.019,7.792469e+03,0.5,6536.031,133.0687,6.35936881445903E-11,-3.12357689762788E-09,1.0458132061874E-06,5.13679590756523E-05,396.177240300377,19459.3223207089,49.117718892572,11849.2227468029,241.241307901919
,580916.881,360.0013,-0.019,5.904585e+03,0.5,6542.467,125.8606,7.92280040598258E-11,-4.11841832978133E-09,7.49517185196987E-07,3.89612909050503E-05,493.576216739664,25657.0055283711,51.9818513498267,11860.8906225517,228.173685902998
,580917.677,360.0013,-0.019,4.474074e+03,0.5,6549.235,127.0427,1.05323257368048E-10,-5.42956630698834E-09,5.73264570558051E-07,2.95526180548647E-05,656.144951817348,33825.2216263941,51.5514468757355,11873.1603837493,230.316724424235
,580918.488,360.0013,-0.019,3.390107e+03,0.5,6557.355,136.0491,1.4847621518911E-10,-7.15632262213703E-09,4.65173161236515E-07,2.24206228097067E-05,924.980118311793,44582.6029257998,48.1984445321579,11887.8811965337,246.644498840666
,580919.284,360.0013,-0.019,2.568774e+03,0.5,6567.798,153.1215,2.19812574051836E-10,-9.42835972892441E-09,3.96705974341001E-07,1.70157992500392E-05,1369.39280472581,58736.9854925176,42.8927224459008,11906.8133945519,277.595189010667
,580920.079,360.0013,-0.019,1.946446e+03,0.5,6582.402,178.8212,3.37215970886955E-10,-1.24129078722111E-08,3.51046914870197E-07,1.29220244273912E-05,2100.79485290194,77330.1836769435,36.8099643666411,11933.2891026681,324.186380182497
,580920.875,360.0013,-0.019,1.474880e+03,0.5,6610.36,214.0927,5.28154601139379E-10,-1.63073848346427E-08,3.18464923155169E-07,9.83297323742474E-06,3290.30818051627,101592.074760875,30.8761578512485,11983.9743839275,388.130363941732
,580921.686,360.0013,-0.019,1.117550e+03,0.5,6629.391,259.671,8.40159081290163E-10,-2.14492301877117E-08,2.92682519826765E-07,7.47217387693227E-06,5234.03998022644,133624.846588773,25.5299629146112,12018.4758356639,470.759627652478
,580922.482,360.0013,-0.019,8.467957e+02,0.5,6671.151,309.6818,1.30501903532134E-09,-2.81126596477513E-08,2.64485950485701E-07,5.69754410194152E-06,8130.03389231876,175136.813757787,21.5419537086132,12094.1828728408,561.424605977368
,580923.277,360.0013,-0.019,6.416440e+02,0.5,6731.142,364.6527,1.9904588130493E-09,-3.67419764498831E-08,2.35982581540413E-07,4.35601399873113E-06,12400.2004364409,228895.905518171,18.4590488429127,12202.9410353715,661.081789165793
,580924.089,360.0013,-0.019,4.861923e+02,0.5,6812.672,417.9012,2.9364184477104E-09,-4.78698212376517E-08,2.04921592432283E-07,3.34065466899551E-06,18293.3588367447,298220.377287845,16.3021115995838,12350.7474228484,757.616419652266
,580924.884,360.0013,-0.019,3.684033e+02,0.5,6915.919,459.4772,4.13188501738769E-09,-6.21919479303148E-08,1.70722852844637E-07,2.56967140420119E-06,25740.9005702775,387444.650857742,15.0517131209122,12537.9247328916,832.989881761163
,580925.68,360.0013,-0.019,2.791500e+02,0.5,7034.969,478.4573,5.48653057320743E-09,-8.06708822293368E-08,1.34705233269304E-07,1.98063053941767E-06,34180.0987603496,502565.088245069,14.7034416655363,12753.7514277171,867.399056481509
,580926.475,360.0013,-0.019,2.115173e+02,0.5,7157.382,468.5575,6.85278107578923E-09,-1.04678661470139E-07,9.99580480129608E-08,1.52689463641731E-06,42691.5936816881,652129.235299035,15.2753546789882,12975.6749320738,849.451630077197
,580927.287,360.0013,-0.019,1.602760e+02,0.5,7268.827,431.8855,8.08845375648867E-09,-1.36132310655061E-07,6.98131261783445E-08,1.17498627881593E-06,50389.612256126,848079.813021877,16.830449274171,13177.7144617238,782.968668694248
,580928.098,360.0013,-0.019,1.214445e+02,0.5,7360.037,378.1638,9.12467448633669E-09,-1.77589557309277E-07,4.6319301907655E-08,9.01492358217555E-07,56845.0810466738,1106351.00390761,19.4625635769473,13343.0697984313,685.576170152408
,580928.909,360.0013,-0.019,9.202165e+01,0.5,7428.38,318.0061,9.94903338558662E-09,-2.32401833237865E-07,2.95142051969714E-08,6.89429327302459E-07,61980.688734332,1447821.6253724,23.3592374485898,13466.9693683974,576.51579586175
,580929.705,360.0013,-0.019,6.972812e+01,0.5,7476.641,259.7861,1.05948326577225E-08,-3.04919163253411E-07,1.82694360478064E-08,5.25794161434761E-07,66003.9020576584,1899591.54967981,28.7799886137095,13554.4621203417,470.968293360788
,580930.516,360.0013,-0.019,5.283509e+01,0.5,7509.354,208.0871,1.11072953301788E-08,-4.00835095577089E-07,1.10883768800061E-08,4.00152375026522E-07,69196.4523445529,2497130.55830649,36.0875517992225,13613.7677790383,377.242763786807
,580931.343,360.0013,-0.019,4.003407e+01,0.5,7531.684,164.6479,1.15332737197402E-08,-5.27580206869251E-07,6.64802442585518E-09,3.04108459323336E-07,71850.2211025519,3286729.80751381,45.7441850154177,13654.2500141954,298.491491532602
,580932.138,360.0013,-0.019,3.033521e+01,0.5,7546.65,129.0702,1.1886802258887E-08,-6.95013537338827E-07,3.94889861059244E-09,2.30889513610636E-07,74052.6403220217,4329809.34473012,58.4693445892235,13681.3819949997,233.992395350389
,580932.918,360.0013,-0.019,2.298591e+01,0.5,7556.814,100.7359,1.22121052289436E-08,-9.16104464878503E-07,2.33532786167837E-09,1.75187180337111E-07,76079.2193222129,5707166.06178303,75.0160965455215,13699.8083916919,182.624916818733
,580933.745,360.0013,-0.019,1.741690e+01,0.5,7564.013,78.25546,1.24971488981372E-08,-1.20794889875346E-06,1.37464902416157E-09,1.32870768240266E-07,77854.9901183562,7525304.39882556,96.6579584351047,13712.8595162282,141.869947785364
,580934.572,360.0013,-0.019,1.319742e+01,0.5,7569.217,60.62468,1.2760080352044E-08,-1.59314353695653E-06,8.06938112914423E-10,1.00749227578929E-07,79493.0057899765,9924997.72050901,124.853722939239,13722.2938893477,109.906966058399
,580935.368,360.0013,-0.019,1.000008e+01,0.5,7573.235,46.98419,1.30374391266101E-08,-2.10146413727709E-06,4.73866604185684E-10,7.63810795110051E-08,81220.9010746602,13091743.6429181,161.186880097326,13729.5781536048,85.1780129084621
,581009.889,357.9240,-0.019,5.000000e+05,0.5,5319.546,979.9505,1.06613333129421E-11,-5.7873793604399E-11,0.000494172418110262,0.00268255683329798,66.41818918004,360.543325994451,5.42838235196574,9643.84738473001,1776.56007986205
,581010.7,357.9240,-0.019,3.788642e+05,0.5,5473.652,962.8466,1.3094975697224E-11,-7.44431562775019E-11,0.000367912932400709,0.00209153499452665,81.5793435620706,463.767475574214,5.68486402714617,9923.22738164539,1745.55228309073
,581011.496,357.9240,-0.019,2.870762e+05,0.5,5639.876,946.3143,1.6042103008138E-11,-9.56082685690423E-11,0.000273991408667446,0.00163294327259952,99.9394166906664,595.62231876628,5.95983385224127,10224.5761974427,1715.58074451985
,581012.292,357.9240,-0.019,2.175258e+05,0.5,5826.281,920.9282,1.93657814753077E-11,-1.22518220920738E-10,0.000202041648700924,0.00127822279634272,120.645335802878,763.266482367385,6.32653121057646,10562.5113091516,1669.55808129004
,581013.087,357.9240,-0.019,1.648255e+05,0.5,6017.725,878.1548,2.2927197456366E-11,-1.57113038968881E-10,0.000145982165309028,0.00100037092063298,142.832316871334,978.785977192802,6.85269271431415,10909.5816641635,1592.01384316784
,581013.898,357.9240,-0.019,1.248930e+05,0.5,6202.694,812.5652,2.64599953325067E-11,-2.01981643182562E-10,0.000102352989026977,0.000781308713343489,164.841012292902,1258.30931216733,7.63347236627904,11244.9134400155,1473.10593402945
,581014.694,357.9240,-0.019,9.463495e+04,0.5,6367.068,725.6397,2.97170763997586E-11,-2.60750130124438E-10,6.92591147083283E-05,0.00060770860933839,185.132041580661,1624.42641675048,8.77442069390636,11542.9083760528,1315.51800155526
,581015.49,357.9240,-0.019,7.170755e+04,0.5,6503.021,626.3272,3.25698612003417E-11,-3.38165884146349E-10,4.52971380111839E-05,0.000470310469873617,202.904377836676,2106.7126416733,10.3827855472347,11789.3786544367,1135.47357795294
,581016.285,357.9240,-0.019,5.433485e+04,0.5,6608.171,523.7619,3.49134702643064E-11,-4.4049439585039E-10,2.87023187733548E-05,0.000362129873423093,217.504640824938,2744.20086658608,12.6167462734498,11980.0059283628,949.532127278572
,581017.096,357.9240,-0.019,4.117107e+04,0.5,6684.258,431.3979,3.71701415145075E-11,-5.75929590244827E-10,1.79132627618864E-05,0.000277555523386278,231.563296868555,3587.93777067532,15.4944147850511,12117.9446577134,782.084694763993
,581017.892,357.9240,-0.019,3.119651e+04,0.5,6738.976,347.7647,3.89634036207597E-11,-7.55031899093302E-10,1.09419759542217E-05,0.00021203334711107,242.734997285976,4703.7129446153,19.3779759705341,12217.1433564741,630.465399227005
,581018.688,357.9240,-0.019,2.363846e+04,0.5,6777.113,280.1178,4.09930822919673E-11,-9.91778283675515E-10,6.67827895558538E-06,0.000161572920848029,255.37953038535,6178.60034352852,24.1937963242607,12286.2822280454,507.827794504705
,581019.499,357.9240,-0.019,1.791157e+04,0.5,6804.334,227.078,4.35318825670301E-11,-1.30442169049776E-09,4.10215908979582E-06,0.00012292014447946,271.1957995151,8126.31254149577,29.9647433921384,12335.6313961247,411.671517913318
,581020.294,357.9240,-0.019,1.357207e+04,0.5,6824.734,187.1459,4.70821054683829E-11,-1.71696438971764E-09,2.56171814997254E-06,9.34193319572306E-05,293.313049709981,10696.3793649735,36.4674513307532,12372.6147188835,339.278295230071
,581021.09,357.9240,-0.019,1.028394e+04,0.5,6840.844,159.0345,5.2565063259211E-11,-2.26107792715665E-09,1.64951384738107E-06,7.09535786623263E-05,327.470890678645,14086.1088485434,43.0148426913657,12401.8206664151,288.314913886795
,581021.886,357.9240,-0.019,7.792469e+03,0.5,6854.887,141.1757,6.13368495775856E-11,-2.97825456357112E-09,1.10952772103997E-06,5.38739113820331E-05,382.117541903164,18553.9903146502,48.5557146166089,12427.2793331555,255.938552882601
,581022.697,357.9240,-0.019,5.904585e+03,0.5,6867.956,132.3396,7.55972990088733E-11,-3.92323177122936E-09,7.88100521387116E-07,4.08996226712471E-05,470.957577226878,24441.0283714081,51.8964542737019,12450.9722275248,239.919516694886
,581023.492,357.9240,-0.019,4.474074e+03,0.5,6881.218,132.2393,9.93090099700506E-11,-5.16765399520484E-09,5.96713589410468E-07,3.1050650542584E-05,618.677272144409,32193.5550269171,52.036104244351,12475.015013134,239.737682024655
,581024.288,357.9240,-0.019,3.390107e+03,0.5,6895.685,140.3135,1.38474678091091E-10,-6.80531638504179E-09,4.79753812110185E-07,2.35774260200267E-05,862.672340891401,42395.8971944946,49.1448435111376,12501.2423528572,254.375463623647
,581025.099,357.9240,-0.019,2.568774e+03,0.5,6912.399,156.844,2.03272532913959E-10,-8.95858849074187E-09,4.06350197977032E-07,1.79085888025442E-05,1266.35132303725,55810.3951634193,44.0718102063197,12531.5432968077,284.343738960166
,581025.895,357.9240,-0.019,1.946446e+03,0.5,6933.062,182.2027,3.0972989987493E-10,-1.17856464206441E-08,3.57685194574357E-07,1.36104109898815E-05,1929.56157365753,73422.457641875,38.0513680642493,12569.0034143649,330.316728511371
,581026.69,357.9240,-0.019,1.474880e+03,0.5,6967.413,217.5163,4.83048093297498E-10,-1.54728430231031E-08,3.23557560647779E-07,1.03640929636336E-05,3009.30274872321,96393.0293609713,32.0316822233552,12631.27861633,394.337035696495
,581027.486,357.9240,-0.019,1.117550e+03,0.5,6991.606,263.6655,7.67067118062746E-10,-2.0340283674012E-08,2.97184833621714E-07,7.88043663603533E-06,4778.69019435248,126716.309244008,26.5169542469531,12675.1382990508,478.001288572095
,581028.297,357.9240,-0.019,8.467957e+02,0.5,7038.853,314.6877,1.19136920147606E-09,-2.66482378495168E-08,2.68761275091591E-07,6.01158261813942E-06,7422.01586651963,166013.729319892,22.3677410969669,12760.7927623051,570.499842026313
,581029.093,357.9240,-0.019,6.416440e+02,0.5,7104.331,371.5881,1.82118010466778E-09,-3.48188391236818E-08,2.40470779752069E-07,4.59752079032347E-06,11345.6245267104,216915.105837536,19.1188334610285,12879.4983509131,673.655031159011
,581029.889,357.9240,-0.019,4.861923e+02,0.5,7191.736,427.9752,2.69914516202486E-09,-4.53566922358118E-08,2.09861468465572E-07,3.52653209292669E-06,16815.1889387169,282564.035573491,16.8040951905624,13037.9555727629,775.87965462641
,581030.7,357.9240,-0.019,3.684033e+02,0.5,7301.988,473.9484,3.82401720727302E-09,-5.89155438847375E-08,1.7609975630815E-07,2.71311878543115E-06,23822.9394809437,367033.242890106,15.4067151613973,13237.8323031947,859.224835697816
,581031.495,357.9240,-0.019,2.791500e+02,0.5,7429.987,497.9496,5.11971996164216E-09,-7.63921745466645E-08,1.40193110282478E-07,2.091844208507E-06,31894.9346183925,475909.508875007,14.9211627040166,13469.8827115186,902.736802668377
,581032.291,357.9240,-0.019,2.115173e+02,0.5,7563.691,492.3871,6.44869950973473E-09,-9.9060211860719E-08,1.05041650987899E-07,1.61357312204628E-06,40174.2381961603,617127.304667717,15.3612696189644,13712.2757598592,892.652502038669
,581033.102,357.9240,-0.019,1.602760e+02,0.5,7687.994,457.9158,7.66615456702458E-09,-1.28707832999773E-07,7.40208539635102E-08,1.24274349377406E-06,47758.7642530573,801826.65246519,16.7890996554388,13937.6256602951,830.159207243729
,581033.898,357.9240,-0.019,1.214445e+02,0.5,7792.267,404.0492,8.69726940151496E-09,-1.67730675738338E-07,4.94898688884195E-08,9.5443394560256E-07,54182.4242337834,1044931.94476542,19.2854409809498,14126.6630139241,732.504018335823
,581034.709,357.9240,-0.019,9.202165e+01,0.5,7872.479,341.7598,9.51938963826096E-09,-2.19280310381815E-07,3.17187905052007E-08,7.3064623796477E-07,59304.0854566485,1366076.89778514,23.0351229138126,14272.0799886855,619.579068107664
,581035.52,357.9240,-0.019,6.972812e+01,0.5,7930.998,280.3763,1.01615147814306E-08,-2.87438536739718E-07,1.97174401639294E-08,5.57746779971215E-07,63304.4096172793,1790690.39025703,28.2869771803109,14378.169550672,508.296431217115
